lat,lon,object_class,geometry
48.0968584,20.7406776,cooling_tower,POINT (20.7406776 48.0968584)
39.9529217,28.8699777,cooling_tower,POINT (28.8699777 39.9529217)
51.5252232,6.8008980,cooling_tower,POINT (6.800898 51.5252232)
51.5240708,6.8019814,cooling_tower,POINT (6.8019814 51.5240708)
53.7384376,-0.2346403,cooling_tower,POINT (-0.2346403 53.7384376)
53.7355381,-0.2293028,cooling_tower,POINT (-0.2293028 53.7355381)
41.1275402,120.6980196,cooling_tower,POINT (120.6980196 41.1275402)
41.1240827,120.6928554,cooling_tower,POINT (120.6928554 41.1240827)
41.1246359,120.6940515,cooling_tower,POINT (120.6940515 41.1246359)
41.1269151,120.6975242,cooling_tower,POINT (120.6975242 41.1269151)
52.0350649,9.4142016,cooling_tower,POINT (9.4142016 52.0350649)
39.0446761,121.7360453,cooling_tower,POINT (121.7360453 39.0446761)
30.9922489,119.9276316,cooling_tower,POINT (119.9276316 30.9922489)
30.9936746,119.9276962,cooling_tower,POINT (119.9276962 30.9936746)
37.8470203,113.6177497,cooling_tower,POINT (113.6177497 37.8470203)
37.8476718,113.6177527,cooling_tower,POINT (113.6177527 37.8476718)
37.8484429,113.6176951,cooling_tower,POINT (113.6176951 37.8484429)
37.8492835,113.6176890,cooling_tower,POINT (113.617689 37.8492835)
37.8670897,113.5434254,cooling_tower,POINT (113.5434254 37.8670897)
39.0100713,-8.9516168,cooling_tower,POINT (-8.9516168 39.0100713)
39.0121467,-8.9530473,cooling_tower,POINT (-8.9530473 39.0121467)
39.8506743,111.2574386,cooling_tower,POINT (111.2574386 39.8506743)
39.8504641,111.2551971,cooling_tower,POINT (111.2551971 39.8504641)
39.8514297,111.2560698,cooling_tower,POINT (111.2560698 39.8514297)
39.8497186,111.2565916,cooling_tower,POINT (111.2565916 39.8497186)
40.7063346,111.7397839,cooling_tower,POINT (111.7397839 40.7063346)
40.7063430,111.7380829,cooling_tower,POINT (111.7380829 40.706343)
44.1035680,0.8456335,cooling_tower,POINT (0.8456335 44.103568)
44.1084790,0.8418730,cooling_tower,POINT (0.841873 44.108479)
39.3633227,112.5336183,cooling_tower,POINT (112.5336183 39.3633227)
39.3634047,112.5317224,cooling_tower,POINT (112.5317224 39.3634047)
39.3632630,112.5352645,cooling_tower,POINT (112.5352645 39.363263)
39.3635034,112.5304584,cooling_tower,POINT (112.5304584 39.3635034)
58.0482885,102.8037829,cooling_tower,POINT (102.8037829 58.0482885)
58.0489133,102.8038983,cooling_tower,POINT (102.8038983 58.0489133)
43.6215411,122.2974666,cooling_tower,POINT (122.2974666 43.6215411)
43.6217779,122.2985280,cooling_tower,POINT (122.298528 43.6217779)
43.6174087,122.2990716,cooling_tower,POINT (122.2990716 43.6174087)
43.6176914,122.2998480,cooling_tower,POINT (122.299848 43.6176914)
43.6173372,122.2996553,cooling_tower,POINT (122.2996553 43.6173372)
58.0564618,102.8058930,cooling_tower,POINT (102.805893 58.0564618)
28.4875119,76.3712086,cooling_tower,POINT (76.3712086 28.4875119)
28.4859931,76.3700918,cooling_tower,POINT (76.3700918 28.4859931)
